bookId,title,author,publisher,description,keywords,rack,year
11,"Switching Theory and Logic Design
",Dr. John Reynolds,Pearson,"This textbook provides an in-depth exploration of switching theory and logic design, foundational topics in digital systems and computer engineering. It covers Boolean algebra, combinational and sequential circuits, and state machine design, with a focus on practical applications and real-world examples. The book includes numerous exercises, design projects, and simulation tools to enhance understanding and facilitate hands-on learning.","Switching theory, logic design, Boolean algebra, digital circuits, combinational circuits, sequential circuits, state machines, computer engineering.",rack1,firstyear
12,Python Programming: A Comprehensive Guide, Dr. Lisa Wang, O'Reilly Media," This book serves as an all-encompassing resource for learning Python programming, from the basics to advanced concepts. It covers fundamental programming principles, data structures, and algorithms, alongside practical applications in data analysis, web development, and automation. Each chapter includes hands-on examples, coding exercises, and projects to reinforce learning and promote proficiency in Python."," Python programming, data structures, algorithms, web development, data analysis, automation, coding exercises, programming principles.",rack1,firstyear
13, Engineering Drawing, N.D. Bhatt, Charotar Publishing House,"This book provides a comprehensive introduction to Engineering Graphics, emphasizing the principles of technical drawing and its applications in engineering. It covers fundamental topics such as orthographic and isometric projections, dimensioning, and sectional views, with step-by-step illustrations and examples. The text is designed to help students master the skills required for creating and interpreting engineering drawings accurately, making it a useful resource for both beginners and advanced learners. The book also integrates practical exercises and CAD examples, giving students a well-rounded understanding of modern engineering graphics.","Engineering Graphics, Technical Drawing, Orthographic ProjectionIsometric Projection, CAD, Sectional Views, Dimensioning, Engineering Design, N.D. Bhatt





",rack1,firstyear
14, Engineering Physics Laboratory Manual,"Dr. Avadhanulu M.N., Prof. Dani S.",S. Chand Publishing," This laboratory manual provides a structured approach to conducting and understanding experiments commonly included in an Engineering Physics lab course. It covers various topics in physics, such as mechanics, optics, thermodynamics, and electromagnetism, with clear, step-by-step instructions for each experiment. The manual is designed to help students develop a deeper understanding of physical principles through practical application. It includes theoretical background, detailed procedures, observations, and data analysis sections for each experiment, making it a valuable guide for engineering students.","Engineering Physics, Laboratory Manual, Mechanics, Optics, Thermodynamics, Electromagnetism, Experiments, Physics Lab, Data Analysis",rack1,firstyear
15,Python Programming Laboratory Manual," Dr. Pooja Sharma, Dr. R. Nageswara Rao", Dreamtech Press,"This manual serves as a comprehensive guide for students in a Python programming lab. Covering fundamental and advanced Python concepts, it includes practical lab exercises designed to help students build proficiency in programming. Starting with Python basics like data types, control structures, and functions, the manual also delves into object-oriented programming, file handling, and basic data structures. Each exercise is accompanied by sample code, step-by-step instructions, and exercises to reinforce learning. The manual is ideal for students new to Python or seeking to strengthen their programming skills."," Python Programming, Laboratory Manual, Control Structures, Data Types, Functions, Object-Oriented Programming, File Handling, Data Structures, Coding Practice, Exercises





",rack1,firstyear
16, Textbook of Environmental Studies for Undergraduate Courses, Erach Bharucha,Universities Press,"This textbook provides a comprehensive overview of Environmental Studies, tailored for undergraduate students. It covers a wide array of topics essential for understanding environmental science, including ecosystems, biodiversity, natural resource conservation, and sustainable development. The book emphasizes the importance of environmental awareness and responsibility, discussing contemporary environmental challenges such as pollution, climate change, and waste management. With a mix of theory, case studies, and practical examples, it serves as an invaluable resource for students aiming to understand the scientific, social, and ethical dimensions of environmental issues.","Environmental Studies, Ecosystems, Biodiversity, Sustainable Development, Conservation, Pollution, Climate Change, Waste Management, Erach Bharucha",rack1,firstyear
17,Managerial Economics and Financial Analysis, A.R. Aryasri, Tata McGraw-Hill Education," This book provides a thorough introduction to managerial economics and financial analysis, specifically aimed at students in engineering and management disciplines. It covers the principles of economics relevant to managerial decision-making, such as demand analysis, cost concepts, and pricing strategies, and links them with financial topics including financial statements, ratio analysis, and capital budgeting. With clear explanations and real-world examples, the book aids students in understanding the economic and financial considerations critical to running a successful business. Its comprehensive coverage and accessible approach make it a valuable resource for students and professionals alike.","Managerial Economics, Financial Analysis, Demand Analysis, Cost Concepts, Pricing Strategies, Financial Statements, Ratio Analysis, Capital Budgeting, Decision-Making, A.R. Aryasri",rack1,secondyear
18,Mathematical Foundation of Computer Science, K. D. Joshi, New Age International Publishers,"This book provides an in-depth exploration of the mathematical principles essential for computer science. Covering key topics such as logic, set theory, graph theory, combinatorics, and algebraic structures, it offers a foundational understanding that supports advanced studies in algorithms, data structures, and computational theory. The book includes numerous solved examples, exercises, and real-world applications to enhance problem-solving skills and logical thinking. Suitable for computer science and engineering students, it serves as both a textbook and a reference for foundational mathematical concepts in computing."," Mathematical Foundations, Computer Science, Logic, Set Theory, Graph Theory, Combinatorics, Algebraic Structures, Algorithms, Computational Theory, K. D. Joshi",rack1,secondyear
19,Object-Oriented Programming with C++,E. Balagurusamy,McGraw-Hill Education," This book offers a detailed introduction to object-oriented programming (OOP) concepts using C++. Covering essential topics such as classes, objects, inheritance, polymorphism, and exception handling, it provides a clear and structured approach to learning C++ through the lens of OOP. With numerous examples, case studies, and exercises, the book helps students and beginners build a solid understanding of OOP principles and their practical applications in programming. This is a popular choice for engineering students and anyone new to OOP who wants to learn C++ effectively.","Object-Oriented Programming, C++, Classes, Inheritance, Polymorphism, Exception Handling, Encapsulation, Programming Concepts, E. Balagurusamy",rack1,secondyear
20,Data Structures and Algorithms in C++, Adam Drozdek, Cengage Learning," This book provides a comprehensive look at data structures and algorithms using C++. It covers fundamental data structures like arrays, linked lists, stacks, queues, trees, and graphs, along with advanced topics such as hash tables, heaps, and balanced trees. The text integrates practical code examples and emphasizes the importance of choosing the right data structure to improve program efficiency and performance. With detailed explanations and problem-solving techniques, this book is ideal for computer science students and professionals who want to gain a solid understanding of data structures and their applications in algorithm design."," Data Structures, Algorithms, C++, Linked Lists, Stacks, Queues, Trees, Graphs, Hash Tables, Efficiency, Adam Drozdek",rack1,secondyear
21, Computer Organization and Architecture, William Stallings, Pearson Education,"This book provides an in-depth exploration of computer organization and architecture, detailing the structure and functioning of computer systems. It covers essential topics such as digital logic, CPU design, memory organization, input/output systems, and instruction sets. Stallings uses a clear, systematic approach to explain complex concepts like pipelining, parallel processing, and multi-core architectures. With numerous examples, diagrams, and exercises, this book is an excellent resource for computer science students seeking to understand the principles behind computer hardware and system design.","Computer Organization, Computer Architecture, CPU Design, Memory Organization, Pipelining, Parallel Processing, Instruction Sets, Multi-Core Architecture, William Stallings",rack1,secondyear
22, Professional Communication Skills, Mukesh Kumar Singh,Cambridge University Press,"This book focuses on developing essential communication skills necessary for professional success in various fields. It covers a range of topics, including verbal and non-verbal communication, effective writing, presentations, negotiation skills, and interpersonal communication. The text provides practical strategies and exercises designed to enhance both individual and group communication abilities. By integrating real-world examples and case studies, it prepares students and professionals to navigate the complexities of communication in the workplace effectively. This resource is ideal for anyone looking to improve their professional interactions and build confidence in communication.","Professional Communication, Communication Skills, Verbal Communication, Non-Verbal Communication, Effective Writing, Presentations, Interpersonal Skills, Negotiation Skills, Mukesh Kumar Singh",rack1,secondyear
23,Object-Oriented Programming with C++ Laboratory Manual,A. K. Sharma,"Dhanpat Rai & Co.
","This laboratory manual provides a practical approach to learning Object-Oriented Programming (OOP) concepts through C++. It contains a series of hands-on experiments and exercises designed to reinforce the theoretical concepts taught in OOP courses. Covering topics such as classes, objects, inheritance, polymorphism, and file handling, the manual guides students through the process of writing, debugging, and optimizing C++ programs. Each experiment includes detailed instructions, sample outputs, and exercises to enhance understanding and coding proficiency. This resource is ideal for engineering students and anyone looking to gain practical experience in C++ programming within the context of OOP."," OOP, C++, Laboratory Manual, Classes, Objects, Inheritance, Polymorphism, File Handling, Coding Exercises, A. K. Sharma





",rack1,secondyear
24, Data Structures Laboratory Manual, Dr. G. S. P. Rao, Laxmi Publications,"This laboratory manual provides a comprehensive guide to understanding and implementing data structures through practical exercises and experiments. Covering essential data structures such as arrays, linked lists, stacks, queues, trees, and graphs, the manual emphasizes hands-on learning to reinforce theoretical concepts. Each chapter includes detailed instructions for coding, sample problems, and exercises that challenge students to apply their knowledge in real-world scenarios. This resource is ideal for computer science and engineering students seeking to enhance their programming skills and deepen their understanding of data structures.","Data Structures, Laboratory Manual, Arrays, Linked Lists, Stacks, Queues, Trees, Graphs, Programming Exercises, Dr. G. S. P. Rao",rack1,secondyear
25, Linux Shell Scripting: A Beginner's Guide,David Tansley, McGraw-Hill Education,"This lab manual provides a practical introduction to Linux shell scripting, designed to help beginners develop skills in writing and executing shell scripts. Covering essential topics such as basic shell commands, script syntax, variables, control structures, and functions, it offers step-by-step exercises that enable students to gain hands-on experience. Each section includes examples, practical exercises, and troubleshooting tips, making it easy for learners to understand and apply the concepts. This resource is ideal for computer science students and IT professionals looking to enhance their proficiency in Linux shell scripting."," Linux, Shell Scripting, Laboratory Manual, Script Syntax, Control Structures, Variables, Functions, Command Line, David Tansley





",rack1,secondyear
26,Community Service Project: A Guide for Students,Susan M. A. Shaw,Sage Publications,"This guidebook provides an in-depth look at planning and executing community service projects, aimed primarily at students and educational institutions. It covers the essential steps involved in designing meaningful community service initiatives, including identifying community needs, setting objectives, mobilizing resources, and evaluating outcomes. The book emphasizes the importance of reflection and learning through service, encouraging students to develop skills such as leadership, teamwork, and communication. With practical examples, case studies, and templates, this resource is ideal for students looking to make a positive impact in their communities through organized service projects.","Community Service, Project Planning, Student Engagement, Leadership, Teamwork, Reflection, Community Needs Assessment, Social Impact, Susan M. A. Shaw





",rack1,secondyear
27,DESIGN AND ANALYSIS OF ALGORITHMS," Alfred V. Aho, Jeffrey D. Ullman, and John E. Hopcroft", Pearson Education,"This book offers a comprehensive exploration of the principles and techniques involved in the design and analysis of algorithms. It covers fundamental topics such as algorithmic efficiency, complexity analysis, and various algorithm design paradigms, including divide-and-conquer, dynamic programming, and greedy algorithms. With clear explanations and numerous examples, the text illustrates how to approach algorithmic problems effectively. Additionally, it includes advanced topics like NP-completeness and approximation algorithms, making it suitable for both undergraduate and graduate students in computer science and related fields.","Algorithms, Algorithm Design, Complexity Analysis, Divide-and-Conquer, Dynamic Programming, Greedy Algorithms, NP-Completeness, Computer Science, Alfred V. Aho, Jeffrey D. Ullman, John E. Hopcroft",rack1,secondyear
28,Software Engineering, Ian Sommerville, Pearson Education,"This book provides a comprehensive introduction to software engineering principles and practices. It covers the entire software development lifecycle, including requirements engineering, system design, implementation, testing, and maintenance. Ian Sommerville emphasizes the importance of software quality and project management, offering methodologies such as Agile and Waterfall, as well as techniques for managing software projects effectively. With real-world case studies, examples, and exercises, this resource is ideal for students and professionals seeking to deepen their understanding of software engineering concepts and improve their software development skills.
","Software Engineering, Software Development Lifecycle, Requirements Engineering, System Design, Testing, Agile Methodology, Waterfall Model, Software Quality, Ian Sommerville",rack1,secondyear
29,Database System Concepts,"Abraham Silberschatz, Henry Korth, and S. Sudarshan", McGraw-Hill Education,"""Database System Concepts"" is a comprehensive textbook that introduces the fundamental concepts of database management systems. It covers the relational model, SQL, database design, transaction management, and data storage and retrieval. The book emphasizes both theoretical foundations and practical applications, making it suitable for students and professionals alike. Through real-world examples and case studies, readers will gain insights into the design and implementation of database systems, as well as emerging trends such as NoSQL databases and cloud data management.","Database management, relational model, SQL, database design, transaction management, data retrieval, NoSQL, cloud databases, data modeling, systems architecture.",rack1,secondyear
30,The Complete Reference, Herbert Schildt, McGraw-Hill Education,"""Java: The Complete Reference"" is a comprehensive guide for programmers of all levels looking to deepen their understanding of the Java programming language. This book covers the fundamentals of Java, including object-oriented programming principles, Java syntax, and the standard libraries. It also delves into advanced topics such as JavaFX, multithreading, networking, and Java Database Connectivity (JDBC). With clear explanations, practical examples, and in-depth coverage of the latest features in Java, this reference is an essential resource for anyone looking to master Java programming and build robust applications.","Java programming, object-oriented programming, Java syntax, JavaFX, multithreading, networking, JDBC, programming languages, software development, algorithms.",rack1,secondyear
31,Probability and Statistics for Engineering and Science,Anthony J. Hayter,Cengage Learning,"""Probability and Statistics for Engineering and Science"" provides a comprehensive introduction to the concepts and methods of probability and statistics, specifically tailored for students in engineering and science fields. The book covers essential topics such as descriptive statistics, probability theory, random variables, distributions, hypothesis testing, and regression analysis. Through practical examples, exercises, and applications relevant to real-world engineering problems, readers will develop the skills necessary to analyze data effectively and make informed decisions based on statistical principles.","Probability, statistics, engineering, data analysis, random variables, hypothesis testing, regression analysis, statistical methods, data distribution, inferential statistics.",rack1,secondyear
32, Professional Communication Skills,Sanjay Kumar and Pushp Lata, Oxford University Press,"""Professional Communication Skills"" is a vital resource for individuals looking to enhance their communication abilities in professional settings. This book addresses various aspects of communication, including verbal and non-verbal communication, writing skills, presentation techniques, and interpersonal communication. It emphasizes the importance of effective communication in the workplace, providing strategies for improving clarity, persuasion, and audience engagement. Through real-life examples, exercises, and case studies, readers will learn how to navigate professional interactions and convey ideas effectively, making them valuable contributors in any organizational context.","Professional communication, verbal skills, non-verbal communication, writing skills, presentation skills, interpersonal communication, workplace communication, clarity, persuasion, audience engagement.",rack1,secondyear
33, Data Visualization: A Practical Introduction, Kieran Healy,Princeton University Press,"""Data Visualization: A Practical Introduction"" offers a hands-on approach to creating effective data visualizations using R and the ggplot2 package. The book covers the principles of good visualization, providing readers with the tools to present data clearly and effectively. Through practical examples and exercises, it explores various types of visualizations, including scatter plots, bar charts, and heatmaps, while emphasizing the importance of design choices and data interpretation. This resource is suitable for students, researchers, and professionals looking to enhance their skills in statistical visualization and data communication using R.","Statistical visualization, R programming, ggplot2, data visualization, data presentation, scatter plots, bar charts, heatmaps, design principles, data communication.",rack1,secondyear
34,Database Management Systems: A Practical Approach,Raghu Ramakrishnan and Johannes Gehrke,McGraw-Hill Education,"""Database Management Systems: A Practical Approach"" serves as a comprehensive lab manual designed to provide hands-on experience with database management systems. This book covers essential concepts such as SQL, database design, normalization, and transaction management, accompanied by practical exercises and projects that reinforce theoretical knowledge. It includes step-by-step tutorials for implementing databases using popular DBMS software, allowing students to gain valuable skills in database creation, querying, and administration. This resource is ideal for students and professionals aiming to deepen their understanding of practical applications in database management.
","Database management systems, SQL, database design, normalization, transaction management, hands-on experience, DBMS software, practical exercises, querying, database administration.",rack1,secondyear
35, Java Programming: A Comprehensive Introduction,Herbert Schildt,McGraw-Hill Education,"""Java Programming: A Comprehensive Introduction"" is a practical lab manual that complements the theoretical aspects of Java programming with hands-on exercises and projects. This book guides readers through fundamental concepts such as data types, control structures, object-oriented programming, and exception handling, with a strong emphasis on coding practice. Each chapter includes lab exercises, programming challenges, and detailed explanations to reinforce learning and build proficiency in Java. Ideal for students and novice programmers, this resource provides a solid foundation for developing real-world applications using Java.","Java programming, hands-on exercises, object-oriented programming, exception handling, data types, control structures, programming challenges, coding practice, application development, software engineering.",rack2,secondyear
36,Competitive Programming,Steven Halim and Felix Halim, Cambridge University Press,"""Competitive Programming"" is a comprehensive guide designed for aspiring programmers looking to excel in competitive coding contests. This book covers essential algorithms and data structures, including sorting, searching, graph theory, and dynamic programming, providing readers with the tools necessary to solve complex problems efficiently. Each chapter includes theoretical explanations, practical examples, and numerous practice problems with varying difficulty levels. Additionally, the book offers strategies for approaching competitive programming challenges and tips for participating in contests. Ideal for students and professionals alike, this resource is a valuable companion for anyone aiming to enhance their coding skills and achieve success in competitive programming.","Competitive programming, algorithms, data structures, sorting, searching, graph theory, dynamic programming, coding contests, problem-solving, programming challenges.",rack2,secondyear
37,Database Management Lab Manual,Ramesh Beergi, Dreamtech Press,"""Database Management Lab Manual"" is designed to provide a hands-on approach to learning the concepts of database management systems. This lab manual covers essential topics, including SQL queries, database design, normalization, and transaction management, with practical exercises to reinforce theoretical knowledge. Each chapter includes step-by-step instructions for implementing various database tasks using popular database management systems like MySQL and Oracle. With its focus on real-world applications and practical skills, this manual is ideal for students and practitioners looking to develop their expertise in database management through practical experience.","Database management, lab manual, SQL queries, database design, normalization, transaction management, practical exercises, MySQL, Oracle, hands-on experience.",rack2,secondyear
38,Web Technologies: A Computer Science Perspective, N. Bhaskara Rao,Laxmi Publications,"""Web Technologies: A Computer Science Perspective"" serves as a comprehensive lab manual for students and professionals eager to explore the field of web development and design. The book covers a wide range of topics, including HTML, CSS, JavaScript, PHP, and database integration. Each chapter provides hands-on lab exercises that guide readers through the creation of dynamic and interactive web applications. With practical examples, code snippets, and step-by-step tutorials, this resource equips learners with the skills needed to develop, deploy, and maintain modern web applications. Ideal for academic courses and self-study, this lab manual helps bridge the gap between theory and practice in web technology.","Web technology, HTML, CSS, JavaScript, PHP, database integration, web development, interactive applications, practical exercises, lab manual, computer science.",rack3,thirdyear
39,Operating System Concepts,"Abraham Silberschatz, Peter B. Galvin, and Greg Gagne", Wiley,"""Operating System Concepts"" is a definitive textbook that provides a comprehensive introduction to the principles and practices of operating systems. This book covers essential topics such as process management, memory management, file systems, system security, and concurrency. It presents both theoretical concepts and practical applications, making it suitable for undergraduate and graduate students alike. Each chapter includes case studies of popular operating systems like Windows, Linux, and UNIX, along with exercises and review questions that reinforce learning. With clear explanations and a focus on modern developments, this book is an essential resource for understanding the fundamental role of operating systems in computer science.","Operating systems, process management, memory management, file systems, system security, concurrency, case studies, Linux, Windows, computer science.",rack3,thirdyear
40,Data Mining: Concepts and Techniques," Jiawei Han, Micheline Kamber, and Jian Pei",Morgan Kaufmann,"""Data Mining: Concepts and Techniques"" is a foundational textbook that provides a comprehensive overview of the essential concepts and techniques used in data mining. The book covers a wide range of topics, including data preprocessing, classification, clustering, association rule mining, and anomaly detection. It emphasizes the underlying principles and algorithms, supplemented by practical examples and case studies from various domains. With its clear explanations and hands-on exercises, this resource is ideal for students and professionals looking to understand the methods and applications of data mining in real-world scenarios. The latest edition also addresses emerging trends, including big data analytics and data mining in social networks.","Data mining, data preprocessing, classification, clustering, association rule mining, anomaly detection, algorithms, big data analytics, case studies, data analysis.",rack3,thirdyear
41,Web Technologies: A Developer's Perspective,Jeffrey C. Jackson,Pearson,"""Web Technologies: A Developer's Perspective"" provides a comprehensive introduction to the tools and techniques used in modern web development. This book covers essential topics such as HTML, CSS, JavaScript, PHP, and web application frameworks. It emphasizes the importance of responsive design, client-server architecture, and user experience in web development. Each chapter includes practical examples and hands-on projects that guide readers through the process of building dynamic web applications. With a focus on real-world applications and best practices, this resource is ideal for students and professionals looking to enhance their skills in web technologies and create interactive websites.","Web technologies, web development, HTML, CSS, JavaScript, PHP, responsive design, client-server architecture, user experience, web applications, best practices.





",rack3,thirdyear
42,Artificial Intelligence: A Modern Approach,Stuart Russell and Peter Norvig, Pearson,"""Artificial Intelligence: A Modern Approach"" is a comprehensive textbook that covers a wide range of topics in artificial intelligence, including problem-solving, reasoning, learning, and perception. This book provides a thorough introduction to the principles and techniques used in AI, with a focus on algorithms and their applications. It includes discussions on machine learning, natural language processing, robotics, and ethical considerations in AI development. The authors present complex concepts in an accessible manner, supplemented by real-world examples and exercises that reinforce learning. This resource is ideal for students, researchers, and professionals seeking to understand and apply AI technologies in various domains.","Artificial intelligence, algorithms, machine learning, natural language processing, robotics, ethical considerations, reasoning, learning, problem-solving, applications.",rack3,thirdyear
43, Cybersecurity Essentials," Charles J. Brooks, Christopher Grow, and Philip Craig",Pearson,"""Cybersecurity Essentials"" provides a solid foundation in cybersecurity principles and practices. The book covers key topics such as risk management, network security, security controls, and incident response. It emphasizes the importance of protecting information systems in various environments, including businesses and government organizations. With real-world scenarios and practical exercises, readers will learn to identify threats and implement effective security measures. This resource is ideal for students and professionals looking to enhance their understanding of cybersecurity."," Cybersecurity, risk management, network security, incident response, security controls, information protection, real-world scenarios.",rack3,thirdyear
44, Pattern Recognition and Machine Learning, Christopher M. Bishop, Springer,"""Pattern Recognition and Machine Learning"" offers a comprehensive introduction to the fields of pattern recognition and machine learning. The book covers theoretical foundations, algorithms, and practical applications across various domains. Topics include supervised and unsupervised learning, neural networks, Bayesian networks, and kernel methods. The text is rich with examples and exercises, making it suitable for students and practitioners aiming to apply machine learning techniques effectively."," Machine learning, pattern recognition, algorithms, neural networks, supervised learning, unsupervised learning, Bayesian networks.",rack3,thirdyear
45," Cloud Computing: Concepts, Technology & Architecture","Thomas Erl, Zaigham Mahmood, and Ricardo Puttini", Prentice Hall,"""Cloud Computing: Concepts, Technology & Architecture"" provides a thorough understanding of cloud computing principles and architectures. It covers various cloud service models, deployment models, and technologies underpinning cloud solutions. The book includes real-world case studies and best practices, allowing readers to grasp the challenges and benefits of cloud adoption in organizations. This resource is perfect for students and IT professionals interested in cloud computing.
Keywords: Cloud computing, service models, deployment models, architecture, case studies, best practices, IT solutions.

4. Big Data
Title: Big Data: Principles and Best Practices of Scalable Real-Time Data Systems
Author: Nathan Marz and James Warren
Publisher: Manning Publications
Description:
""Big Data: Principles and Best Practices of Scalable Real-Time Data Systems"" explores the concepts and technologies behind big data systems. The book covers architecture, data processing, and analytics techniques for handling large volumes of data. It includes practical examples and strategies for building scalable data systems, making it an essential resource for data engineers and analysts.","Big data, real-time data systems, data processing, architecture, analytics techniques, scalability, data engineering.",rack4,fourthyear
46,Software Engineering: A Practitioner's Approach, Roger S. Pressman and Bruce R. Maxim, McGraw-Hill Education,"""Software Engineering: A Practitioner's Approach"" provides a comprehensive overview of software engineering principles and practices. The book covers software development methodologies, project management, requirements analysis, and design principles. With numerous examples and case studies, it emphasizes practical applications and the importance of quality assurance in software development. This resource is ideal for students and professionals in the field."," Software engineering, development methodologies, project management, requirements analysis, quality assurance, case studies.",rack4,fourthyear
47, Designing Interfaces: Patterns for Effective Interaction Design, Jenifer Tidwell, O'Reilly Media,"""Designing Interfaces: Patterns for Effective Interaction Design"" is a practical guide to creating user-friendly interfaces. The book introduces key design principles and patterns for interaction design, providing practical examples and case studies to illustrate effective design solutions. This resource is essential for UX/UI designers, developers, and anyone interested in enhancing the user experience of their applications.","Human-computer interaction, interface design, interaction patterns, user experience, UX/UI design, practical examples.",rack4,fourthyear
48, Android Programming: The Big Nerd Ranch Guide," Bill Phillips, Chris Stewart, and Kristin Marsicano", Big Nerd Ranch,"""Android Programming: The Big Nerd Ranch Guide"" offers a hands-on approach to learning Android app development. The book covers essential topics, including user interface design, data storage, and app functionality. With practical examples and exercises, readers will build their own Android applications, gaining valuable experience in mobile development. This resource is ideal for beginners and experienced developers looking to expand their skills in Android programming.","Mobile application development, Android programming, user interface design, app functionality, practical exercises, mobile development.",rack3,thirdyear
49, Data Science, Joel Grus,O'Reilly Media,"""Data Science from Scratch"" provides an accessible introduction to the fundamental concepts of data science, emphasizing hands-on learning using Python. The book covers essential topics such as data manipulation, probability, statistics, machine learning, and data visualization. With practical examples and coding exercises, readers will learn to implement data science algorithms and techniques from the ground up, making it an ideal resource for beginners and aspiring data scientists."," Data science, Python, data manipulation, statistics, machine learning, data visualization, coding exercises.",rack3,thirdyear
50, Internet of Things: Architecture and Applications,Rajkumar Buyya and Amir Vahid Dastjerdi,Morgan Kaufmann,"""Internet of Things: Architecture and Applications"" explores the architecture, technologies, and applications of the Internet of Things (IoT). The book covers various IoT components, including sensors, devices, and cloud computing. It also discusses real-world applications in smart cities, healthcare, and industrial automation, providing case studies that illustrate IoT implementation. This resource is essential for students, researchers, and professionals looking to understand and apply IoT technologies effectively.","Internet of Things, architecture, applications, sensors, cloud computing, smart cities, industrial automation, case studies.",rack3,thirdyear
51,Linear Algebra and Its Applications,Gilbert Strang,Cengage Learning,"This widely used textbook offers a comprehensive introduction to linear algebra concepts, applications, and techniques. It is known for its clear explanations and examples that connect theory with practical applications. Strang's approach simplifies complex ideas, making them accessible to students of all levels, especially those who are new to linear algebra.","Linear Algebra, Matrix Theory, Vector Spaces, Eigenvalues, Applications",rack3,firstyear
